dep;sexe;jour;hosp;rea;hosp - rea;rad;dc;dc ehpad;hosp quot;rea quot;rad quot;dc quot;dc ehpad quot;lits réa;hosp off;rea off;rad off;dc off
60;2;18/03/2020;40;6;34;7;3;;40;6;7;3;0;;;;;
61;0;18/03/2020;4;0;4;2;0;;4;0;2;0;0;;;;;
61;1;18/03/2020;1;0;1;1;0;;1;0;1;0;0;;;;;
61;2;18/03/2020;3;0;3;1;0;;3;0;1;0;0;;;;;
62;0;18/03/2020;22;9;13;16;0;;22;9;16;0;0;;;;;
62;1;18/03/2020;10;6;4;12;0;;10;6;12;0;0;;;;;
62;2;18/03/2020;12;3;9;4;0;;12;3;4;0;0;;;;;
63;0;18/03/2020;10;2;8;3;0;;10;2;3;0;0;;;;;
63;1;18/03/2020;7;2;5;2;0;;7;2;2;0;0;;;;;
63;2;18/03/2020;3;0;3;1;0;;3;0;1;0;0;;;;;
64;0;18/03/2020;5;0;5;0;0;;5;0;0;0;0;;;;;
64;1;18/03/2020;2;0;2;0;0;;2;0;0;0;0;;;;;
64;2;18/03/2020;3;0;3;0;0;;3;0;0;0;0;;;;;
65;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
65;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
65;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
66;0;18/03/2020;9;5;4;1;0;;9;5;1;0;0;;;;;
66;1;18/03/2020;7;4;3;0;0;;7;4;0;0;0;;;;;
66;2;18/03/2020;2;1;1;1;0;;2;1;1;0;0;;;;;
67;0;18/03/2020;210;58;152;4;15;;210;58;4;15;0;;;;;
67;1;18/03/2020;108;37;71;3;7;;108;37;3;7;0;;;;;
67;2;18/03/2020;99;21;78;1;8;;99;21;1;8;0;;;;;
68;0;18/03/2020;371;77;294;116;74;;371;77;116;74;0;;;;;
68;1;18/03/2020;203;50;153;67;38;;203;50;67;38;0;;;;;
68;2;18/03/2020;164;27;137;47;35;;164;27;47;35;0;;;;;
69;0;18/03/2020;36;8;28;10;0;;36;8;10;0;0;;;;;
69;1;18/03/2020;14;1;13;4;0;;14;1;4;0;0;;;;;
69;2;18/03/2020;12;5;7;6;0;;12;5;6;0;0;;;;;
70;0;18/03/2020;14;4;10;2;0;;14;4;2;0;0;;;;;
70;1;18/03/2020;7;2;5;0;0;;7;2;0;0;0;;;;;
70;2;18/03/2020;7;2;5;2;0;;7;2;2;0;0;;;;;
71;0;18/03/2020;35;0;35;4;5;;35;0;4;5;0;;;;;
71;1;18/03/2020;13;0;13;2;3;;13;0;2;3;0;;;;;
71;2;18/03/2020;22;0;22;2;2;;22;0;2;2;0;;;;;
72;0;18/03/2020;9;0;9;1;0;;9;0;1;0;0;;;;;
72;1;18/03/2020;3;0;3;0;0;;3;0;0;0;0;;;;;
72;2;18/03/2020;6;0;6;1;0;;6;0;1;0;0;;;;;
73;0;18/03/2020;8;0;8;3;0;;8;0;3;0;0;;;;;
73;1;18/03/2020;2;0;2;2;0;;2;0;2;0;0;;;;;
73;2;18/03/2020;6;0;6;1;0;;6;0;1;0;0;;;;;
74;0;18/03/2020;31;8;23;43;5;;31;8;43;5;0;;;;;
74;1;18/03/2020;15;5;10;24;2;;15;5;24;2;0;;;;;
74;2;18/03/2020;9;0;9;18;3;;9;0;18;3;0;;;;;
75;0;18/03/2020;359;105;254;40;14;;359;105;40;14;0;;;;;
75;1;18/03/2020;217;70;147;22;10;;217;70;22;10;0;;;;;
75;2;18/03/2020;139;35;104;18;4;;139;35;18;4;0;;;;;
76;0;18/03/2020;30;3;27;3;3;;30;3;3;3;0;;;;;
76;1;18/03/2020;17;2;15;1;3;;17;2;1;3;0;;;;;
76;2;18/03/2020;13;1;12;2;0;;13;1;2;0;0;;;;;
77;0;18/03/2020;25;13;12;10;0;;25;13;10;0;0;;;;;
77;1;18/03/2020;15;12;3;6;0;;15;12;6;0;0;;;;;
77;2;18/03/2020;10;1;9;4;0;;10;1;4;0;0;;;;;
78;0;18/03/2020;69;18;51;5;5;;69;18;5;5;0;;;;;
78;1;18/03/2020;34;11;23;2;4;;34;11;2;4;0;;;;;
78;2;18/03/2020;35;7;28;3;1;;35;7;3;1;0;;;;;
79;0;18/03/2020;2;1;1;2;0;;2;1;2;0;0;;;;;
79;1;18/03/2020;1;1;0;1;0;;1;1;1;0;0;;;;;
79;2;18/03/2020;1;0;1;1;0;;1;0;1;0;0;;;;;
80;0;18/03/2020;50;20;30;9;1;;50;20;9;1;0;;;;;
80;1;18/03/2020;27;12;15;5;0;;27;12;5;0;0;;;;;
80;2;18/03/2020;22;8;14;4;1;;22;8;4;1;0;;;;;
81;0;18/03/2020;2;0;2;2;0;;2;0;2;0;0;;;;;
81;1;18/03/2020;1;0;1;2;0;;1;0;2;0;0;;;;;
81;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
82;0;18/03/2020;1;0;1;0;1;;1;0;0;1;0;;;;;
82;1;18/03/2020;0;0;0;0;1;;0;0;0;1;0;;;;;
82;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
83;0;18/03/2020;23;7;16;78;0;;23;7;78;0;0;;;;;
83;1;18/03/2020;12;6;6;39;0;;12;6;39;0;0;;;;;
83;2;18/03/2020;11;1;10;39;0;;11;1;39;0;0;;;;;
84;0;18/03/2020;9;3;6;7;1;;9;3;7;1;0;;;;;
84;1;18/03/2020;4;2;2;6;0;;4;2;6;0;0;;;;;
84;2;18/03/2020;5;1;4;1;1;;5;1;1;1;0;;;;;
85;0;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
85;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
85;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
86;0;18/03/2020;7;0;7;0;1;;7;0;0;1;0;;;;;
86;1;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
86;2;18/03/2020;6;0;6;0;1;;6;0;0;1;0;;;;;
87;0;18/03/2020;2;0;2;2;0;;2;0;2;0;0;;;;;
87;1;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
87;2;18/03/2020;1;0;1;2;0;;1;0;2;0;0;;;;;
88;0;18/03/2020;32;6;26;7;8;;32;6;7;8;0;;;;;
88;1;18/03/2020;19;5;14;2;4;;19;5;2;4;0;;;;;
88;2;18/03/2020;13;1;12;5;4;;13;1;5;4;0;;;;;
89;0;18/03/2020;6;0;6;1;0;;6;0;1;0;0;;;;;
89;1;18/03/2020;5;0;5;1;0;;5;0;1;0;0;;;;;
89;2;18/03/2020;1;0;1;0;0;;1;0;0;0;0;;;;;
90;0;18/03/2020;25;9;16;0;0;;25;9;0;0;0;;;;;
90;1;18/03/2020;13;6;7;0;0;;13;6;0;0;0;;;;;
90;2;18/03/2020;12;3;9;0;0;;12;3;0;0;0;;;;;
91;0;18/03/2020;51;16;35;0;1;;51;16;0;1;0;;;;;
91;1;18/03/2020;35;11;24;0;0;;35;11;0;0;0;;;;;
91;2;18/03/2020;16;5;11;0;1;;16;5;0;1;0;;;;;
92;0;18/03/2020;149;48;101;22;4;;149;48;22;4;0;;;;;
92;1;18/03/2020;92;35;57;12;4;;92;35;12;4;0;;;;;
92;2;18/03/2020;55;13;42;10;0;;55;13;10;0;0;;;;;
93;0;18/03/2020;92;33;59;15;5;;92;33;15;5;0;;;;;
93;1;18/03/2020;59;21;38;9;3;;59;21;9;3;0;;;;;
93;2;18/03/2020;33;12;21;6;2;;33;12;6;2;0;;;;;
94;0;18/03/2020;122;32;90;16;5;;122;32;16;5;0;;;;;
94;1;18/03/2020;76;24;52;15;5;;76;24;15;5;0;;;;;
94;2;18/03/2020;44;8;36;1;0;;44;8;1;0;0;;;;;
95;0;18/03/2020;90;29;61;21;2;;90;29;21;2;0;;;;;
95;1;18/03/2020;64;23;41;8;2;;64;23;8;2;0;;;;;
95;2;18/03/2020;25;6;19;12;0;;25;6;12;0;0;;;;;
971;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
971;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
971;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
972;0;18/03/2020;16;5;11;0;1;;16;5;0;1;0;;;;;
972;1;18/03/2020;9;3;6;0;0;;9;3;0;0;0;;;;;
972;2;18/03/2020;7;2;5;0;1;;7;2;0;1;0;;;;;
973;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
973;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
973;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
974;0;18/03/2020;2;2;0;0;0;;2;2;0;0;0;;;;;
974;1;18/03/2020;2;2;0;0;0;;2;2;0;0;0;;;;;
974;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
976;0;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
976;1;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
976;2;18/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
1;0;19/03/2020;2;0;2;1;0;;0;0;0;0;0;5000;4461;1122;1300;372
1;1;19/03/2020;1;0;1;1;0;;0;0;0;0;0;;;;;
1;2;19/03/2020;1;0;1;0;0;;0;0;0;0;0;;;;;
2;0;19/03/2020;43;15;28;33;19;;2;5;15;8;0;;;;;
2;1;19/03/2020;23;7;16;16;13;;4;3;5;7;0;;;;;
2;2;19/03/2020;20;8;12;17;6;;-2;2;10;1;0;;;;;
3;0;19/03/2020;0;0;0;7;0;;-4;0;6;0;0;;;;;
3;1;19/03/2020;0;0;0;2;0;;-1;0;2;0;0;;;;;
3;2;19/03/2020;0;0;0;5;0;;-3;0;4;0;0;;;;;
4;0;19/03/2020;3;1;2;3;0;;0;0;1;0;0;;;;;
4;1;19/03/2020;3;1;2;1;0;;0;0;1;0;0;;;;;
4;2;19/03/2020;0;0;0;2;0;;0;0;0;0;0;;;;;
5;0;19/03/2020;10;1;9;10;0;;2;0;1;0;0;;;;;
5;1;19/03/2020;3;0;3;8;0;;2;0;1;0;0;;;;;
5;2;19/03/2020;7;1;6;2;0;;0;0;0;0;0;;;;;
6;0;19/03/2020;33;5;28;48;2;;8;4;1;0;0;;;;;
6;1;19/03/2020;21;4;17;19;0;;6;3;0;0;0;;;;;
6;2;19/03/2020;11;0;11;29;2;;1;0;1;0;0;;;;;
7;0;19/03/2020;11;2;9;0;0;;-1;1;0;0;0;;;;;
7;1;19/03/2020;6;1;5;0;0;;-1;0;0;0;0;;;;;
7;2;19/03/2020;3;0;3;0;0;;0;0;0;0;0;;;;;
8;0;19/03/2020;0;0;0;1;0;;0;0;0;0;0;;;;;
8;1;19/03/2020;0;0;0;1;0;;0;0;0;0;0;;;;;
8;2;19/03/2020;0;0;0;0;0;;0;0;0;0;0;;;;;
9;0;19/03/2020;1;1;0;2;0;;0;0;0;0;0;;;;;
